country,year,energy_type,production_(gwh),installed_capacity_(mw),investments_(usd),population,gdp,energy_consumption,co2_emissions,renewable_energy_jobs,average_annual_temperature,annual_rainfall,solar_irradiance,wind_speed,hydro_potential,geothermal_potential,biomass_availability,energy_storage_capacity,electricity_prices,urbanization_rate,industrialization_rate,proportion_of_energy_from_renewables
USA,2011,Solar,85404.69002657851,5549.794322627294,5604124938.338174,1064007213,177527818919196.2,369654.6441836122,294399.3778914006,756878,21.956028072109135,157.01345661818925,203.0385974194104,5.838375136540771,95.59797187656017,2.516637266042632,30.26799916825889,367.5656832744333,0.1498680309726648,58.56301845667096,9.518225987689156,25.90789459727334
Australia,2008,Geothermal,22205.0693816595,43211.59379776789,636188589.2449071,1033255852,64353719977940.7,771781.6362925589,826531.6782524436,945074,24.63325575365785,1336.0032079778816,111.13307767847824,14.872917120486171,71.73461449052834,88.70368337327086,36.0369454535077,556.5560326744187,0.3311439754118357,30.587331139293276,29.718921672518384,95.00354665450509
Canada,2013,Biomass,94102.73203761142,6139.117212313818,6158679593.928604,14895124,156792558512690.16,342707.15289942647,43695.24019105409,588423,13.501933803025077,357.5170577835906,159.99644232970917,3.4732095905884304,84.02229222074152,6.6116578199474585,54.59594824101669,30.986430599220338,0.15754118070384,31.91376220053337,10.507144700624604,67.35453937347727
Japan,2010,Biomass,88771.9329100875,40323.63925957208,8526116427.909157,1448827283,135046406195172.5,498839.5742529395,840378.7966824662,11049,1.0908995631176008,2271.3120212170284,297.1636140489203,13.575549103533106,53.17173128655691,39.856383670439065,45.27613428930014,592.9484155608766,0.4529708429450581,89.94682737711581,17.59918325664229,33.75410391770871
China,2018,Solar,93288.40858117655,30755.403055619685,5086237221.2104845,1499494307,86779560922578.3,819064.362785224,162034.25433961197,225191,30.64102190477461,2285.0160137570706,133.26937772287002,14.964738759048007,46.4238592872572,98.64820679509263,93.72979602772568,933.7387957689796,0.058826791091433,44.69206127968348,44.31616621004132,59.5092277027326
India,2014,Wind,90483.64715931805,28526.81641416707,9359773764.31154,796046057,12010867961551.84,363527.6978021052,132562.78626691387,816485,37.73960957402565,2457.0280236516523,220.4361352564077,6.664297101799843,17.622755955709323,41.17803311417328,78.7585086047938,940.6148653751068,0.069662516066409,73.75245280871242,12.865816548696074,8.960623948979041
Germany,2014,Wind,5656.905989867986,20658.704725199805,7703453578.998243,926881425,110480523170481.48,997437.3356607351,695687.1214173409,708461,-1.998583502447694,721.5378944145431,256.75095351023083,10.961162145023856,89.33686007726692,41.64168151517361,32.295486608336,924.6297210940376,0.4980412528338486,20.94891826039688,52.341989158385886,63.04955369488958
Germany,2016,Biomass,63308.32777330517,47740.6996941846,2808873172.8384504,518729600,27111924401732.707,228249.1337113572,85869.94340759385,354460,16.027092214349935,1314.221459138043,223.83670023023524,10.53494152497783,65.81909480969176,30.112389425759133,36.687725321181205,48.38558073004804,0.1895164641874315,48.65836595718809,72.7002672176019,66.66170719651006
Japan,2015,Biomass,70560.47106191165,37648.718972201,9095394363.10571,104974272,60886171438019.75,121449.8361133625,833178.3576114378,339831,13.804864454614044,2196.322423545261,299.8272388723313,1.3891258601652567,51.898509298775394,29.651324204239717,26.055647278371158,386.5403263520392,0.4982821349498931,34.62481202556709,15.769220572248,59.37523078167723
Canada,2002,Wind,57780.09974625366,22408.24192185452,2810623523.563448,1304327983,79793351601566.97,364330.1039925119,146833.07510254695,938728,0.9017034932526452,779.8273183498684,252.4078562481645,1.0117946438750869,95.3437421384052,56.85597311796844,15.136972232041725,966.1894263262288,0.2963011907844233,4.178583003122571,49.99449839149244,55.01812274579593
Australia,2020,Hydro,3386.1154289015817,39711.89793618251,3891812729.533588,902409611,65341355942158.69,113964.35834129824,131626.69937175672,18034,17.663241088196354,490.306285333725,127.58807698104802,4.404496046536643,16.99437018492851,69.18807239154137,0.8407876919343527,373.5097779111951,0.431328055418615,46.442801547653325,0.231000043829499,49.68599244431197
France,2015,Biomass,35747.14937275996,11408.685733855198,9918204882.903284,551826175,68950038569662.42,746144.5280681575,232158.0339748636,436217,15.814700275629583,2663.8118131598767,228.29556649741,14.356898832299583,46.23169345175312,20.501958237957385,76.95521097757475,408.857990869386,0.0519988348137214,30.339936440670343,95.68475489740108,56.1688425757285
